( Z, Y, Age) = 0.004988   0.242  10.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -1.50  0.8111E+02   1.909      2.50  0.4451E+04   3.648     -1.50  0.3160E+02   1.500
 -1.75  0.6618E+02   1.821      2.25  0.4129E+04   3.616     -1.75  0.1787E+02   1.252
 -2.00  0.5473E+02   1.738      2.00  0.4205E+04   3.624     -2.00  0.1709E+02   1.233
 -2.25  0.4446E+02   1.648      1.75  0.2940E+04   3.468     -2.25  0.8265E+00  -0.083
 -2.50  0.2104E+02   1.323      1.50  0.2524E+04   3.402     -2.50  0.0000E+00   0.000
 -2.75  0.1739E+02   1.240      1.25  0.1395E+04   3.144     -2.75  0.0000E+00   0.000
 -3.00  0.1476E+02   1.169      1.00  0.1022E+04   3.009     -3.00  0.0000E+00   0.000
 -3.25  0.1326E+02   1.123      0.75  0.1534E+04   3.186     -3.25  0.0000E+00   0.000
 -3.50  0.1136E+02   1.055      0.50  0.2485E+04   3.395     -3.50  0.0000E+00   0.000
 -3.75  0.6307E+01   0.800      0.25  0.2621E+03   2.419     -3.75  0.0000E+00   0.000
 -4.00  0.5603E+01   0.748      0.00  0.2279E+03   2.358     -4.00  0.0000E+00   0.000
 -4.25  0.4986E+01   0.698     -0.25  0.1871E+03   2.272     -4.25  0.0000E+00   0.000
 -4.50  0.4192E+01   0.622     -0.50  0.1859E+03   2.269     -4.50  0.0000E+00   0.000
 -4.75  0.3285E+01   0.517     -0.75  0.1124E+03   2.051     -4.75  0.0000E+00   0.000
 -5.00  0.2814E+01   0.449     -1.00  0.8685E+02   1.939     -5.00  0.0000E+00   0.000
 -5.25  0.2451E+01   0.389     -1.25  0.7475E+02   1.874     -5.25  0.0000E+00   0.000
 -5.50  0.1028E+01   0.012     -1.50  0.3555E+02   1.551     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.2196E+02   1.342     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.1585E+06   5.200     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25 -0.7177E+05   0.000     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.3233E+06   5.510     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.4161E+06   5.619     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.2389E+06   5.378     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.5969E+06   5.776     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.4291E+06   5.633     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.3697E+06   5.568     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.2342E+06   5.370     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.5674E+06   5.754     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.2036E+05   4.309     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.8142E+06   5.911     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00  0.8200E+05   4.914     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.5097E+06   5.707     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50  0.2288E+06   5.359     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.016900   0.274   1.995
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
