( Z, Y, Age) = 0.007549   0.249   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
  6.25  0.3729E+05   4.572     10.25  0.0000E+00   0.000      6.25  0.2772E+05   4.443
  6.00  0.3486E+05   4.542     10.00  0.0000E+00   0.000      6.00  0.2722E+05   4.435
  5.75  0.3197E+05   4.505      9.75  0.0000E+00   0.000      5.75  0.2653E+05   4.424
  5.50  0.2999E+05   4.477      9.50  0.0000E+00   0.000      5.50  0.2543E+05   4.405
  5.25  0.2804E+05   4.448      9.25  0.0000E+00   0.000      5.25  0.2429E+05   4.385
  5.00  0.2492E+05   4.397      9.00  0.1253E+05   4.098      5.00  0.2260E+05   4.354
  4.75  0.2343E+05   4.370      8.75  0.4424E+05   4.646      4.75  0.2139E+05   4.330
  4.50  0.2169E+05   4.336      8.50  0.6383E+05   4.805      4.50  0.1966E+05   4.294
  4.25  0.2093E+05   4.321      8.25  0.4901E+05   4.690      4.25  0.1934E+05   4.287
  4.00  0.1662E+05   4.221      8.00  0.4352E+05   4.639      4.00  0.1609E+05   4.206
  3.75  0.1836E+05   4.264      7.75  0.3631E+05   4.560      3.75  0.1640E+05   4.215
  3.50  0.1319E+05   4.120      7.50  0.3300E+05   4.518      3.50  0.1368E+05   4.136
  3.25  0.1661E+05   4.220      7.25  0.3200E+05   4.505      3.25  0.1743E+05   4.241
  3.00  0.1571E+05   4.196      7.00  0.3183E+05   4.503      3.00  0.1078E+05   4.033
  2.75  0.9589E+04   3.982      6.75  0.2958E+05   4.471      2.75  0.1123E+05   4.050
  2.50  0.1077E+05   4.032      6.50  0.2865E+05   4.457      2.50  0.9475E+04   3.977
  2.25  0.7319E+04   3.864      6.25  0.2818E+05   4.450      2.25  0.6619E+04   3.821
  2.00  0.5990E+04   3.777      6.00  0.2760E+05   4.441      2.00  0.5741E+04   3.759
  1.75  0.4115E+04   3.614      5.75  0.2670E+05   4.426      1.75  0.3522E+04   3.547
  1.50  0.4146E+04   3.618      5.50  0.2603E+05   4.416      1.50  0.4069E+04   3.610
  1.25  0.3837E+04   3.584      5.25  0.2482E+05   4.395      1.25  0.3719E+04   3.570
  1.00  0.2240E+04   3.350      5.00  0.2289E+05   4.360      1.00  0.3932E+04   3.595
  0.75  0.2263E+04   3.355      4.75  0.2152E+05   4.333      0.75  0.3242E+04   3.511
  0.50  0.2634E+04   3.421      4.50  0.2023E+05   4.306      0.50  0.2958E+04   3.471
  0.25  0.3189E+04   3.504      4.25  0.1985E+05   4.298      0.25  0.7190E+03   2.857
  0.00  0.1295E+04   3.112      4.00  0.1588E+05   4.201      0.00  0.2918E+03   2.465
 -0.25  0.3911E+03   2.592      3.75  0.1764E+05   4.247     -0.25  0.4504E+03   2.654
 -0.50  0.2734E+03   2.437      3.50  0.1314E+05   4.119     -0.50  0.2845E+03   2.454
 -0.75  0.3910E+03   2.592      3.25  0.1743E+05   4.241     -0.75  0.2115E+03   2.325
 -1.00  0.2422E+03   2.384      3.00  0.1230E+05   4.090     -1.00  0.1280E+03   2.107
 -1.25  0.1842E+03   2.265      2.75  0.1074E+05   4.031     -1.25  0.1050E+03   2.021
